1	 10	 oui	7.6e-08	  1.36e-07	  5.46e-07
2	 136	 oui	1.66e-07	  2.01e-07	  4.44e-07
3	 2080	 oui	3.13e-07	  3.72e-07	  1.37e-05
4	 32896	 oui	5.11e-07	  8.01e-07	  0.00183
5	 524800	 oui	7.87e-07	  1.06e-06	  0.00183
6	 8390656	 oui	1.14e-06	  1.56e-06	  0.036
7	 61461748	 non	1.74e-06	  2.93e-06	  0.0352
8	 43783894	 non	2.44e-06	  4.11e-06	  0.0349
9	 32781519	 non	3.26e-06	  5.49e-06	  0.00154
10	 25277276	 non	4.14e-06	  7.12e-06	  0.0364
20	 4708715	 non	2.71e-05	  3.82e-05	  0.00136
30	 1719441	 non	8.41e-05	  0.000105	  0.0364
40	 843868	 non	0.000181	  0.000213	  0.00147
50	 487457	 non	0.000321	  0.000369	  0.00165
60	 306005	 non	0.000523	  0.000588	  0.0354
70	 205064	 non	0.000792	  0.000878	  0.00217
80	 143151	 non	0.00115	  0.00126	  0.00272
90	 105106	 non	0.00157	  0.00171	  0.00355
100	 78963	 non	0.0021	  0.00228	  0.00433
200	 11421	 non	0.0149	  0.0158	  0.0513
300	 3499	 non	0.0494	  0.0514	  0.0549
400	 1471	 non	0.118	  0.122	  0.169
500	 751	 non	0.232	  0.239	  0.282
600	 435	 non	0.402	  0.413	  0.458
700	 274	 non	0.641	  0.656	  0.684
800	 183	 non	0.955	  0.979	  1.01
900	 129	 non	1.37	  1.39	  1.43
1000	 94	 non	1.87	  1.91	  1.96
1500	 27	 non	6.47	  6.53	  6.62
2000	 11	 non	15.9	  16	  16.1
2500	 5	 non	33.5	  33.5	  33.6
3000	 2	 non	62.8	  63	  63.3
3500	 1	 non	107	  107	  107
4000	 1	 non	170	  170	  170
4500	 1	 non	252	  252	  252

